Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
368,45387.30997,ادوبي ,Adobe ,Adobe ,https://m.calcalistech.com/Article.aspx?guid=3903090,boycott,DONE,داعم غير مباشر,Glassbox Join Adobe Exchange Partner Program - Glassbox,تكنولوجيا
212,1/31/2024,ادوبي ,Adobe,Adobe Inc,"https://www.crikey.com.au/2023/11/01/israel-gaza-adobe-artificial-intelligence-images-fake-news/
second :",boycott,,,,
337,3/20/2024,المسواك,meswak,dabur,معجون أسنان المسواك من شركة دابر ، شركة مصرية,alternative,,,,
385,45396.90837,المسواك,Miswak,دابر,معجون أسنان ,unsure,,,,
188,1/30/2024,اوكسي,Oxi,Arma ,مسحوق غسيل ,unsure,,,,
36,1/7/2024,اوكسي,Oxi,أرما للصابون والمنظفات ,الشركة عربيه بمدينة العاشر من رمضان ، المنتج بديل عن برسيل ,alternative,,,,
192,1/30/2024,اوكسي,Oxi,أرما للصابون والمنظفات,غير متأكد,boycott,,,,
128,1/29/2024,اوكسي,oxi,لا اعلم,مسحوق غسيل,unsure,,,,
44,1/7/2024,اوكسي,Oxi,Henkel,تبع شركه امريكيه,boycott,,,,
347,3/29/2024,اوه,o,EAU, مياه معدنيه,alternative,,,,
295,3/5/2024,اوه,o,EAU,مياه شرب,alternative,,,,
113,1/29/2024,اي او اس,iOS,Apple,https://shbabbek.com/show/228407,boycott,,,,
114,1/29/2024,اي او اس,iOS,Apple,https://shbabbek.com/show/228407,boycott,,,,
164,1/30/2024,ايفون,Iphone ,Apple ,Apple ,boycott,,,,
378,45391.82873,ايفون,IPhone ,Apple ,"عند سوأل سيري الوقت في فلسطين لن يجب.
اما عن سوأل سيري الوقت في إسرائيل سيجيب",unsure,,,,
111,1/29/2024,ايفون,iPhone,Apple,https://shbabbek.com/show/228407,boycott,,,,
166,1/30/2024,بوكي (بوكي تيوب),Poke (PokeTube),Ashley,واجهة لموقع اليوتيوب خالية من الإعلانات والتعقب وبها روابط دعم لفلسطين 🇵🇸,alternative,,,,
165,1/30/2024,بوكي (بوكي تيوب),Poke (PokeTube),https://ashley0143.xyz (Ashley),فرنت اند (واجهة) لموقع اليوتيوب مفتوح المصدر ولا يحتوي على أي تعقب ولا اعلانات وبه روابط تبرع لفلسطين 🇵🇸 ,boycott,,,,
217,1/31/2024,بيك رولز,Bake rolz,Edita ,تعاون مع شركات أمريكية ,boycott,,,,
439,45440.73341,بيك رولز,,اديتا,لأنها تدعم اسرائيل,boycott,,,,
438,45440.46715,بيك رولز,,Edita,معظم الأسهم أجنبية,boycott,,,,
436,45439.5416,تويست,Twist,Twist,         ,unsure,,,,
293,3/5/2024,تويست,Twist,لا اعلم ,هل هذا داعم ام بديل ,unsure,,,,
